@relation mydata-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.NumericToNominal-R2-3-weka.filters.unsupervised.attribute.NumericToNominal-R2-3

@attribute FARE numeric
@attribute SUCCESS {0,1}
@attribute SEATCLASS {1,2,3}
@attribute GUESTS numeric
@attribute GENDER {MALE,FEMALE}
@attribute AGE numeric

@data
0,0,1,0,MALE,40
0,0,1,0,MALE,45
0,0,1,0,MALE,39
0,0,1,0,MALE,45
0,0,2,0,MALE,22
0,0,2,0,MALE,14
0,0,2,0,MALE,15
0,0,2,0,MALE,22
0,0,2,0,MALE,11
0,0,2,0,MALE,14
0,0,3,0,MALE,36
0,0,3,0,MALE,19
0,0,3,0,MALE,49
0,1,3,0,MALE,25
10.1708,0,3,0,MALE,19
10.4625,0,3,0,FEMALE,2
10.4625,0,3,1,FEMALE,29
10.5,0,2,0,MALE,30
10.5,0,2,0,MALE,24
10.5,0,2,0,MALE,19
10.5,0,2,0,MALE,29
10.5,0,2,0,MALE,36
10.5,0,2,0,MALE,66
10.5,0,2,0,MALE,31
10.5,0,2,0,MALE,26
10.5,0,2,0,MALE,70
10.5,0,2,0,MALE,32
10.5,0,2,0,FEMALE,57
10.5,0,2,0,MALE,35
10.5,0,2,0,MALE,16
10.5,0,2,0,MALE,28
10.5,1,2,0,MALE,19
10.5,1,2,0,FEMALE,50
10.5,1,2,0,FEMALE,34
10.5,1,2,0,FEMALE,50
10.5,1,2,0,FEMALE,21
10.5,1,2,0,MALE,62
10.5,1,2,0,FEMALE,29
10.5,1,2,0,FEMALE,27
10.5,1,2,0,FEMALE,17
10.5167,0,3,0,FEMALE,22
106.425,0,1,1,MALE,50
106.425,1,1,0,FEMALE,30
108.9,0,1,1,MALE,18
108.9,1,1,1,FEMALE,17
11.1333,1,3,0,FEMALE,27
11.1333,1,3,1,FEMALE,1
11.1333,1,3,1,MALE,4
11.2417,1,3,1,MALE,12
